undefined

1 atom types

1728 atoms

0.000000 100.000000 xlo xhi
0.000000 100.000000 ylo yhi
0.000000 100.000000 zlo zhi

Masses

1 32.000000 # MeOH

Atoms

309 309 1  47.368877 68.612045 44.501713
310 310 1  47.044235 64.710419 64.940704
311 311 1  41.421127 29.369186 33.916176
312 312 1  66.240913 45.060257 44.386501
313 313 1  47.381805 67.843361 38.152016
314 314 1  45.960747 49.387253 23.572001
315 315 1  64.320282 42.079437 66.894737
316 316 1  29.491680 37.334175 57.227032
317 317 1  73.638741 38.392284 39.345974
318 318 1  63.998730 60.564743 38.192188
319 319 1  43.712463 37.551395 34.431213
320 320 1  38.694328 54.226227 39.143635
321 321 1  55.975334 59.848335 57.588844
322 322 1  41.078758 45.109741 69.288368
323 323 1  45.013191 57.174370 22.821421
324 324 1  53.212627 67.166374 51.742989
325 325 1  38.660774 46.740623 27.967590
326 326 1  51.838833 40.607605 46.860634
327 327 1  52.916817 54.266979 49.766144
328 328 1  44.338982 64.309906 51.603111
329 329 1  74.237816 71.876373 51.225304
330 330 1  54.073719 73.103317 39.835484
331 331 1  37.806332 56.068626 53.639076
332 332 1  64.336571 76.198914 57.422588
333 333 1  47.017876 26.034494 38.988564
334 334 1  51.751137 45.251774 60.261024
335 335 1  63.936340 50.735111 35.472366
336 336 1  43.018738 37.215900 42.823101
337 337 1  38.726761 31.573076 24.076485
338 338 1  68.369591 48.748188 33.847271
339 339 1  51.936333 40.485886 33.973930
340 340 1  36.455566 60.834877 38.896851
341 341 1  31.241905 69.759811 52.941517
342 342 1  39.735687 42.308182 47.960030
343 343 1  30.970814 46.220436 33.253613
344 344 1  66.954018 43.222488 57.339588
345 345 1  63.471764 54.904324 50.829277
346 346 1  80.928940 38.242901 54.881241
347 347 1  72.831848 34.926014 38.611843
348 348 1  41.371189 63.079948 36.058144
349 349 1  44.163574 25.776808 47.101974
350 350 1  36.645271 51.914654 33.805798
351 351 1  44.257111 77.216629 54.560028
352 352 1  64.850632 32.275536 46.539558
353 353 1  59.501423 33.480659 46.565968
354 354 1  77.274147 36.489944 57.743683
355 355 1  63.139820 34.414551 35.696301
356 356 1  57.276955 27.791616 38.466095
357 357 1  38.121567 46.142181 33.237759
358 358 1  68.108620 41.133556 68.939575
359 359 1  74.941261 33.622021 40.916851
360 360 1  28.682047 51.796745 38.928879
361 361 1  63.445004 36.986294 54.101620
362 362 1  48.762604 40.236813 26.370420
363 363 1  31.142742 60.386818 57.531910
364 364 1  43.270100 51.310383 59.424107
365 365 1  65.924278 50.819592 68.225876
366 366 1  25.201887 47.551933 62.003635
367 367 1  45.280075 56.410114 61.652584
368 368 1  36.786877 41.813282 39.731041
369 369 1  64.771774 61.513798 64.720528
370 370 1  35.736908 48.386177 73.299355
371 371 1  71.500221 38.166107 52.348034
372 372 1  55.880978 45.059025 63.121506
373 373 1  54.910881 41.479073 22.328728
374 374 1  59.243690 53.904823 22.009354
375 375 1  35.410408 55.242504 75.373871
376 376 1  74.824265 56.801723 39.455025
377 377 1  67.473839 26.698233 54.510921
378 378 1  32.855827 56.171661 44.074936
379 379 1  22.548658 49.451324 50.267792
380 380 1  41.498318 39.694519 61.617435
381 381 1  63.910809 56.866077 39.373158
382 382 1  51.690300 37.228035 43.541367
383 383 1  59.144066 45.861023 39.421642
384 384 1  56.409996 69.849152 71.026222
385 385 1  49.812962 47.219273 24.053919
386 386 1  76.693878 53.531532 39.969711
387 387 1  30.691790 41.446701 67.584160
388 388 1  43.630650 45.092098 39.561119
389 389 1  28.636869 47.926456 59.622444
390 390 1  35.475307 36.296047 25.707479
391 391 1  60.028530 37.967903 54.673855
392 392 1  63.841351 29.515406 52.970505
393 393 1  55.896950 33.562969 42.533772
394 394 1  44.957611 42.816349 27.395367
395 395 1  38.563255 75.447830 45.064816
396 396 1  31.291451 67.452362 45.671917
397 397 1  74.550507 48.399605 49.125004
398 398 1  46.616592 78.356148 50.157612
399 399 1  55.092434 76.410500 40.737545
400 400 1  54.874565 44.984547 48.634594
401 401 1  52.944962 45.311405 69.758743
402 402 1  63.889362 62.816292 30.518431
403 403 1  40.210499 38.868004 42.402897
404 404 1  34.315994 53.932972 53.204441
405 405 1  49.170444 43.850456 73.280128
406 406 1  72.830643 36.216682 32.048054
407 407 1  48.908386 62.070061 44.385250
408 408 1  29.434248 39.489315 39.640285
409 409 1  60.616608 74.838127 35.870667
410 410 1  67.708374 34.606575 48.769554
411 411 1  22.167181 53.847073 52.859951
412 412 1  71.650696 56.854092 41.915585
413 413 1  41.570641 43.055202 37.459366
414 414 1  50.741962 40.759640 55.047493
415 415 1  67.308578 35.964199 37.020874
416 416 1  55.421646 43.681141 30.090044
417 417 1  52.611153 47.401199 64.116272
418 418 1  62.114880 30.864031 68.108803
419 419 1  51.574432 60.156590 59.251888
420 420 1  27.569975 62.161118 42.377888
421 421 1  35.769592 46.276524 63.166218
422 422 1  36.314709 38.007385 28.538740
423 423 1  71.519127 62.691177 64.806313
424 424 1  34.235798 33.650612 55.007633
425 425 1  61.716408 52.726437 37.375870
426 426 1  75.041924 53.102718 36.843964
427 427 1  75.095947 54.863430 57.302818
428 428 1  28.647520 34.121174 56.963161
429 429 1  43.807632 50.374527 74.013519
430 430 1  55.190041 56.994823 29.559036
431 431 1  43.042061 31.940765 35.704422
432 432 1  47.166779 36.402073 44.768002
433 433 1  19.443003 51.276283 47.784985
434 434 1  17.814041 9.483935 37.331291
435 435 1  51.711933 64.146576 26.932453
436 436 1  32.093021 38.322029 34.446411
437 437 1  63.943130 42.562386 59.660786
438 438 1  20.778311 52.637314 42.843353
439 439 1  38.920403 46.572193 72.203629
440 440 1  44.054375 35.847122 46.319668
441 441 1  25.644169 50.715973 60.770901
442 442 1  35.597736 38.155197 55.663376
443 443 1  63.507618 49.240723 60.321869
444 444 1  29.300869 56.882378 67.416527
445 445 1  61.986179 55.868916 35.354980
446 446 1  55.495083 49.136623 63.716457
447 447 1  52.502010 57.581245 64.238441
448 448 1  43.660549 48.312275 31.153955
449 449 1  65.504280 76.389290 52.901417
450 450 1  63.469322 53.375587 41.031853
451 451 1  66.041565 67.728111 54.435829
452 452 1  35.963600 54.740742 50.095421
453 453 1  33.074989 46.171062 67.682472
454 454 1  38.318668 74.969879 40.572018
455 455 1  17.808405 48.166534 46.839901
456 456 1  72.213654 54.471130 53.487495
457 457 1  72.802055 58.493717 59.726768
458 458 1  49.666283 69.339912 36.039562
459 459 1  51.716293 74.978493 56.501633
460 460 1  70.684509 57.839394 48.842007
461 461 1  27.960646 58.103661 64.911720
462 462 1  36.882526 55.631676 63.512238
463 463 1  60.544724 31.836287 54.871098
464 464 1  59.571697 41.642967 60.506454
465 465 1  45.534809 58.375801 30.990084
466 466 1  63.236748 63.773373 57.011139
467 467 1  23.740156 45.680656 73.754684
468 468 1  55.625832 78.865120 45.642296
469 469 1  72.704926 49.104507 70.265343
470 470 1  51.631252 59.903084 40.821613
471 471 1  18.743689 51.373928 38.250771
472 472 1  57.459148 59.062916 47.243019
473 473 1  71.946915 43.255718 68.056252
474 474 1  64.064789 40.296925 63.690350
475 475 1  62.027584 33.973927 48.090797
476 476 1  50.009258 48.319302 43.342781
477 477 1  55.752857 36.172508 36.583633
478 478 1  46.733875 50.095047 52.397434
479 479 1  61.478710 29.419382 35.259075
480 480 1  58.657040 35.545219 51.647171
481 481 1  74.194748 40.004475 60.239151
482 482 1  47.738605 41.708130 30.736380
483 483 1  36.615395 31.039856 51.454052
484 484 1  67.073074 37.871330 40.452324
485 485 1  70.963608 59.574375 39.012241
486 486 1  39.496986 67.987923 56.982777
487 487 1  47.515472 67.068825 67.885254
488 488 1  77.934006 45.976532 47.534184
489 489 1  78.998260 64.290146 40.414005
490 490 1  57.069031 43.262802 72.203163
491 491 1  66.911041 50.602741 36.419579
492 492 1  38.287621 25.097694 53.450043
493 493 1  36.671585 65.025787 26.922974
494 494 1  65.355118 46.143440 53.405819
495 495 1  59.074680 22.116289 62.069519
496 496 1  44.431488 39.364590 51.485691
497 497 1  72.923912 35.120281 58.839615
498 498 1  50.940983 66.959595 27.845284
499 499 1  44.967556 52.681324 20.473146
500 500 1  55.612415 25.179943 67.454750
501 501 1  25.588547 56.907646 59.231342
502 502 1  66.468605 41.136196 54.009735
503 503 1  42.923370 59.932022 41.498573
504 504 1  50.285717 46.739590 21.048794
505 505 1  51.435677 69.648773 41.675056
506 506 1  61.265469 28.904819 49.277687
507 507 1  46.101501 22.029474 43.819054
508 508 1  59.217876 64.103203 64.759827
509 509 1  46.485653 70.433372 40.368755
510 510 1  33.047798 62.076080 51.863979
511 511 1  48.363247 21.289946 65.611504
512 512 1  79.905426 55.425785 43.160412
513 513 1  28.348459 33.164970 53.505623
514 514 1  71.863754 69.627129 63.829670
515 515 1  69.119888 56.774208 61.171490
516 516 1  20.363251 55.742531 56.337261
517 517 1  63.545139 72.012192 64.511253
518 518 1  33.072903 50.132935 66.503807
519 519 1  54.321896 58.200691 43.476147
520 520 1  43.831150 49.077587 19.358009
521 521 1  41.421688 69.799065 33.954674
522 522 1  49.916500 24.052668 57.480377
523 523 1  80.518539 53.108879 50.137745
524 524 1  52.387806 72.571404 35.981148
525 525 1  67.942665 44.893726 63.220451
526 526 1  53.887863 64.004654 76.334229
527 527 1  34.946594 34.882130 58.259491
528 528 1  53.905975 42.683014 58.706882
529 529 1  64.322662 45.118595 35.459587
530 530 1  44.907078 73.503922 57.142696
531 531 1  54.314339 79.706947 40.585358
532 532 1  67.788292 62.064930 46.871002
533 533 1  48.827637 34.842663 54.921806
534 534 1  37.823906 71.643692 55.041897
535 535 1  58.220734 59.365540 34.223633
536 536 1  45.253155 46.607460 53.091709
537 537 1  76.988846 43.489471 34.860500
538 538 1  57.312408 29.091154 33.277164
539 539 1  58.049652 64.687508 37.126987
540 540 1  59.719593 57.379692 39.152935
541 541 1  54.617977 49.825806 26.260002
542 542 1  37.495560 30.315943 41.186794
543 543 1  24.145861 54.189960 40.195210
544 544 1  24.679228 44.690762 51.382381
545 545 1  37.236088 36.161213 40.414288
546 546 1  56.215527 51.795383 59.901283
547 547 1  58.717617 45.783535 27.797684
548 548 1  41.794724 73.747139 39.418671
549 549 1  53.365524 79.306236 48.276875
550 550 1  25.391237 46.898621 32.055435
551 551 1  39.239540 47.788872 49.939995
552 552 1  62.500927 33.194725 52.449173
553 553 1  46.115303 55.218006 30.433975
554 554 1  49.102322 29.383844 36.593742
555 555 1  78.529732 46.556698 52.275574
556 556 1  61.252018 43.807026 38.108181
557 557 1  75.995132 68.400871 49.092823
558 558 1  59.627899 28.421783 57.232059
559 559 1  57.812080 62.691242 72.460869
560 560 1  46.322079 26.477446 58.089882
561 561 1  46.410141 70.298096 56.785583
562 562 1  24.388309 59.324512 56.886177
563 563 1  67.152771 75.806007 56.072372
564 564 1  57.259483 62.199345 26.927284
565 565 1  54.623634 70.895004 50.173576
566 566 1  38.822636 52.862690 68.243004
567 567 1  45.183296 44.814877 33.666618
568 568 1  53.737831 62.480419 72.287857
569 569 1  43.564831 26.541969 69.230034
570 570 1  53.545837 48.450176 76.465141
571 571 1  39.020664 44.081249 54.996052
572 572 1  72.167030 52.232525 38.169785
573 573 1  46.449310 56.718178 26.231930
574 574 1  41.915997 66.625809 32.501900
575 575 1  66.555832 49.521694 40.491726
576 576 1  74.964684 61.143681 35.693226
577 577 1  45.651424 59.770054 64.676338
578 578 1  73.799957 57.140747 35.161572
579 579 1  43.167221 40.518555 67.659988
580 580 1  55.214771 47.602280 52.451344
581 581 1  43.198360 40.720726 34.844631
582 582 1  48.218319 30.548487 60.930576
583 583 1  59.310085 76.514679 32.539005
584 584 1  36.950798 57.802704 74.138893
585 585 1  67.691719 34.618553 42.313423
586 586 1  43.034393 42.058834 78.007454
587 587 1  71.845375 63.208195 38.159931
588 588 1  36.714554 40.572731 61.054810
589 589 1  65.012573 44.656143 64.937759
590 590 1  34.819130 68.854179 30.950195
591 591 1  65.250870 29.427916 47.537575
592 592 1  33.171276 51.972195 63.833481
593 593 1  58.112320 37.749001 29.664806
594 594 1  68.855774 52.433567 43.936073
595 595 1  59.410034 66.568512 58.588814
596 596 1  72.299820 57.545376 51.839485
597 597 1  65.100159 74.569656 63.151512
598 598 1  69.424347 52.980850 68.372162
599 599 1  79.593246 59.190315 47.888855
600 600 1  30.446030 45.983593 63.231319
601 601 1  40.208660 31.817621 43.404594
602 602 1  47.960533 34.220341 65.181396
603 603 1  44.008881 37.804062 64.242874
604 604 1  69.686035 51.121010 47.553692
605 605 1  33.943947 64.217224 36.066559
606 606 1  70.169312 29.608362 53.683376
607 607 1  49.259480 51.231949 40.962025
608 608 1  29.493408 56.296890 48.536304
609 609 1  47.404957 68.276428 49.154804
610 610 1  37.305031 59.681618 30.053844
611 611 1  61.823864 45.015316 50.467278
612 612 1  50.217407 56.885727 41.419529
613 613 1  34.597416 29.274426 48.379856
614 614 1  45.569023 62.919170 44.270287
615 615 1  49.133030 66.342140 33.046356
616 616 1  75.265541 34.838097 44.215618
617 617 1  51.649563 37.431931 40.321812
618 618 1  79.458565 43.782234 53.674904
619 619 1  62.043385 43.427227 32.479385
620 620 1  41.324375 48.989388 28.852434
621 621 1  38.373329 24.299595 49.862717
622 622 1  71.514099 62.416080 59.365704
623 623 1  37.863354 59.417202 54.152843
624 624 1  38.941368 36.051201 71.596268
625 625 1  28.083492 60.784935 55.609241
626 626 1  30.337851 50.170532 53.670067
627 627 1  53.059082 77.071617 44.559315
628 628 1  62.283337 71.362747 50.781761
629 629 1  29.278791 34.988762 40.090988
630 630 1  55.790825 58.204605 68.205162
631 631 1  52.269558 65.396019 47.112545
632 632 1  62.260384 28.983274 65.535324
633 633 1  73.572060 55.810543 44.285801
634 634 1  74.609489 62.826508 49.092880
635 635 1  55.209114 54.734653 25.368790
636 636 1  78.243759 39.662991 35.195309
637 637 1  49.481079 71.588394 55.138317
638 638 1  40.783924 68.069344 44.050423
639 639 1  28.912546 52.962273 59.674572
640 640 1  32.715176 59.373112 48.025764
641 641 1  37.791248 27.456623 49.904079
642 642 1  24.148941 58.177780 41.911102
643 643 1  67.666901 30.321205 55.185692
644 644 1  72.522003 47.482349 59.614296
645 645 1  76.501747 56.473454 50.784866
